transaction_date,owner,ticker,type,senator,amount
2022-08-01,Self,IVV,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Self,EFAV,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Self,XLY,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Self,VTRS,Sale (Full),Thomas H Tuberville,1001
2022-08-01,Self,ABNFX,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,RSP,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,IDV,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,DHS,Purchase,Thomas H Tuberville,15001
2022-08-01,Self,PCNNX,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Joint,JHCBX,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Joint,ORCL,Sale (Full),Thomas H Tuberville,1001
2022-08-01,Joint,XLC,Sale (Full),Thomas H Tuberville,15001
2022-08-01,Joint,TSCO,Sale (Full),Thomas H Tuberville,1001
2022-08-01,Joint,MUB,Purchase,Thomas H Tuberville,50001
2022-08-01,Joint,OC,Purchase,Thomas H Tuberville,15001
2022-08-26,Joint,SSYS,Sale (Full),Thomas H Tuberville,50001
2022-08-25,Joint,ARKK,Purchase,Thomas H Tuberville,50001
2022-08-05,Joint,INTC,Purchase,Thomas H Tuberville,1001
2022-08-05,Joint,INTC,Purchase,Thomas H Tuberville,100001
2022-08-18,Spouse,SQM,Purchase,Thomas R Carper,1001
2022-08-18,Spouse,FAST,Sale (Full),Thomas R Carper,1001
2022-08-19,Self,BKEPP,Sale (Full),"William F Hagerty, Iv",15001
2022-07-20,Self,HR,Exchange,Gary C Peters,1001
2022-07-18,Joint,CLF,Purchase,Thomas H Tuberville,50001
2022-07-14,Joint,ECOM,Purchase,Thomas H Tuberville,100001
2022-07-11,Spouse,GWW,Purchase,Shelley M Capito,1001
2022-07-01,Spouse,COST,Purchase,Shelley M Capito,1001
2022-06-23,Joint,LMT,Sale (Full),Debra S Fischer,50001
2022-06-23,Joint,KO,Sale (Full),Debra S Fischer,1001
2022-06-23,Joint,CSCO,Sale (Full),Debra S Fischer,1001
2022-06-23,Joint,CAT,Sale (Full),Debra S Fischer,50001
2021-12-28,Child,SBNY,Sale (Full),"William F Hagerty, Iv",15001
2021-12-28,Child,SBNY,Sale (Full),"William F Hagerty, Iv",15001
2021-12-28,Child,SBNY,Sale (Full),"William F Hagerty, Iv",15001
2022-06-16,Spouse,INTC,Sale (Full),Shelley M Capito,15001
2022-06-16,Spouse,F,Sale (Full),Shelley M Capito,1001
2022-06-30,Spouse,MMM,Sale (Full),Shelley M Capito,1001
2022-06-01,Spouse,CMS,Purchase,Shelley M Capito,1001
2022-06-17,Spouse,MSFT,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,IBM,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,INTC,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,KO,Sale (Partial),Shelley M Capito,1001
2022-06-17,Spouse,BMY,Sale (Partial),Shelley M Capito,1001
2022-06-21,Joint,RPM,Sale (Partial),Daniel S Sullivan,15001
2022-06-30,Self,VTIP,Sale (Full),Lindsey Graham,15001
2022-06-30,Self,IBDO,Purchase,Lindsey Graham,1001
2022-06-30,Self,IBDQ,Purchase,Lindsey Graham,15001
2022-06-17,Joint,BRK.B,Sale (Full),Thomas H Tuberville,100001
2022-06-29,Joint,PYPL,Purchase,Thomas H Tuberville,50001
2022-06-28,Joint,QCOM,Sale (Partial),Thomas H Tuberville,250001
2022-06-22,Joint,GOLD,Sale (Full),Thomas H Tuberville,50001
2022-06-21,Joint,X,Purchase,Thomas H Tuberville,100001
2022-06-21,Joint,SSYS,Purchase,Thomas H Tuberville,1001
2022-06-21,Joint,INTC,Purchase,Thomas H Tuberville,50001
2022-06-17,Joint,SCCO,Sale (Full),Thomas H Tuberville,100001
2022-06-17,Joint,PYPL,Purchase,Thomas H Tuberville,100001
2022-06-17,Joint,EVT,Sale (Full),Thomas H Tuberville,50001
2022-06-17,Joint,CVX,Sale (Full),Thomas H Tuberville,1001
2022-06-16,Joint,QCOM,Purchase,Thomas H Tuberville,250001
2022-06-16,Joint,PYPL,Purchase,Thomas H Tuberville,1001
2022-06-14,Joint,SSYS,Purchase,Thomas H Tuberville,1001
2022-06-09,Joint,SSYS,Purchase,Thomas H Tuberville,15001
2022-06-09,Joint,INTC,Purchase,Thomas H Tuberville,15001
2022-06-06,Joint,EVT,Purchase,Thomas H Tuberville,15001
2022-06-01,Joint,ECOM,Purchase,Thomas H Tuberville,1001
2022-06-03,Spouse,WFC,Purchase,"A. Mitchell Mcconnell, Jr.",1001
2022-05-31,Joint,X,Purchase,Thomas H Tuberville,100001
2022-05-20,Joint,PYPL,Purchase,Thomas H Tuberville,50001
2022-05-19,Joint,PYPL,Purchase,Thomas H Tuberville,250001
2022-05-16,Spouse,JCI,Sale (Full),Thomas R Carper,1001
2022-05-06,Self,LMND,Sale (Partial),"William F Hagerty, Iv",1001
2021-09-01,Spouse,LBRDK,Sale (Partial),John W Hickenlooper,100001
2021-03-15,Spouse,LBRDK,Sale (Partial),John W Hickenlooper,100001
2021-11-12,Spouse,LSXMK,Sale (Partial),John W Hickenlooper,250001
2021-03-15,Spouse,LSXMK,Sale (Partial),John W Hickenlooper,100001
2021-08-27,Self,FSK,Purchase,Gary C Peters,1001
2021-06-09,Spouse,TCF,Exchange,Tina Smith,100001
2022-04-11,Self,SQ,Sale (Full),Thomas H Tuberville,1001
2022-04-11,Self,PYPL,Purchase,Thomas H Tuberville,15001
2022-04-28,Joint,PYPL,Sale (Full),Thomas H Tuberville,50001
2022-04-21,Joint,ECOM,Purchase,Thomas H Tuberville,100001
2022-05-05,Self,IRT,Sale (Full),John R Thune,15001
2020-04-03,Spouse,RTX,Exchange,Thomas R Carper,1001
2021-11-26,Spouse,GOLD,Sale (Full),Thomas R Carper,1001
2022-03-09,Self,TACO,Sale (Partial),"William F Hagerty, Iv",15001
2022-03-30,Joint,WST,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,VEEV,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,VMW,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,SNA,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,SIVB,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,SPGI,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,ROK,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,REGN,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,NFLX,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,LMST,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,KEY,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,INTU,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,GNRC,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,FGBI,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,FITB,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,EXP,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,DEO,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,CFG,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,CE,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,CP,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,CABO,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,BKE,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,BIO,Sale (Full),Thomas H Tuberville,1001
2022-03-30,Joint,BMO,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,TMO,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,RMD,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,RF,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,NOC,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,NDAQ,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,MRK,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,MASI,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,MMC,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,MKSI,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,HUMA,Purchase,Thomas H Tuberville,15001
2022-03-30,Joint,HON,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,GFI,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,IT,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,DHI,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,CDNS,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,AME,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,GOOG,Purchase,Thomas H Tuberville,1001
2022-03-30,Joint,ABBV,Purchase,Thomas H Tuberville,1001
2022-03-21,Joint,ECOM,Purchase,Thomas H Tuberville,15001
2022-03-21,Joint,NU,Purchase,Thomas H Tuberville,15001
2022-03-08,Joint,ECOM,Purchase,Thomas H Tuberville,50001
2022-03-07,Spouse,MAXR,Sale (Partial),Thomas R Carper,1001
2022-02-24,Spouse,AAPL,Sale (Partial),Ron L Wyden,50001
2022-02-24,Spouse,AAPL,Purchase,Ron L Wyden,50001
2022-03-03,Spouse,WFC,Purchase,"A. Mitchell Mcconnell, Jr.",1001
2022-02-24,Spouse,NEE,Sale (Partial),Shelley M Capito,1001
2022-02-24,Spouse,MSFT,Sale (Partial),Shelley M Capito,1001
2022-02-24,Spouse,LHX,Sale (Partial),Shelley M Capito,1001
2022-02-24,Spouse,LOW,Sale (Partial),Shelley M Capito,1001
2022-02-24,Spouse,AAPL,Sale (Partial),Shelley M Capito,1001
2022-02-22,Joint,OXY,Sale (Partial),Thomas H Tuberville,50001
2022-02-10,Joint,X,Purchase,Thomas H Tuberville,100001
2022-02-09,Joint,PYPL,Purchase,Thomas H Tuberville,15001
2022-02-07,Joint,PYPL,Purchase,Thomas H Tuberville,50001
2022-01-31,Self,ROAD,Sale (Full),Mark R Warner,100001
2022-01-21,Spouse,UL,Sale (Full),Susan M Collins,15001
2022-01-06,Spouse,WEX,Sale (Full),Susan M Collins,15001
2022-01-06,Spouse,VFC,Sale (Full),Susan M Collins,1001
2022-01-06,Spouse,OTIS,Sale (Full),Susan M Collins,1001
2022-01-06,Spouse,HSIC,Sale (Full),Susan M Collins,15001
2022-01-06,Spouse,CARR,Sale (Full),Susan M Collins,1001
2022-01-06,Spouse,MMM,Sale (Full),Susan M Collins,15001
2022-01-21,Spouse,HSY,Purchase,Susan M Collins,15001
2022-01-06,Spouse,NVDA,Purchase,Susan M Collins,15001
2022-01-06,Spouse,LIN,Purchase,Susan M Collins,15001
2022-01-06,Spouse,AMZN,Purchase,Susan M Collins,15001
2022-01-24,Joint,GOLD,Purchase,Thomas H Tuberville,50001
2022-01-12,Joint,WBA,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,VZ,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,MMM,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,PFE,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,IBM,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,INTC,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,KO,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,CSCO,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,CVX,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,DOW,Purchase,Thomas H Tuberville,1001
2022-01-12,Joint,AMGN,Purchase,Thomas H Tuberville,1001
2022-01-21,Joint,DUK,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,MDT,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,ABBV,Sale (Full),Thomas H Tuberville,1001
2022-01-21,Joint,ABC,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,CTAS,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,LMT,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,PEP,Sale (Full),Thomas H Tuberville,1001
2022-01-21,Joint,PM,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,PONCX,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,PG,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,TSN,Sale (Full),Thomas H Tuberville,15001
2022-01-21,Joint,XEL,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,ABQCX,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,FUN,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,CRWD,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,FGSCX,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,GILD,Sale (Full),Thomas H Tuberville,1001
2022-01-13,Joint,CLOU,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,NWL,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,PEGA,Sale (Full),Thomas H Tuberville,15001
2022-01-13,Joint,VTRS,Sale (Full),Thomas H Tuberville,1001
2022-01-14,Joint,ACN,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,ADBE,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,AWK,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,AAPL,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,CTAS,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,LLY,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,MA,Sale (Full),Thomas H Tuberville,1001
2022-01-14,Joint,MSFT,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,NEE,Sale (Full),Thomas H Tuberville,15001
2022-01-14,Joint,RTX,Sale (Full),Thomas H Tuberville,1001
2022-01-14,Joint,WMT,Sale (Full),Thomas H Tuberville,1001
2022-01-31,Spouse,WIW,Purchase,Thomas R Carper,1001
2022-01-31,Spouse,NVDA,Purchase,Thomas R Carper,1001
2022-01-31,Spouse,SI,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,C,Sale (Full),Thomas R Carper,1001
2022-01-18,Spouse,TTE,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,QCOM,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,ARCC,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,LMT,Sale (Full),Thomas R Carper,1001
2022-01-18,Spouse,CVS,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,NVDA,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,MET,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,AXS,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,GLAD,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,HASI,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,ETN,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,ABBV,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,RTX,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,IRM,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,APO,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,LHX,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,AAPL,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,CSCO,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,GLW,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,INTC,Sale (Partial),Thomas R Carper,1001
2022-01-18,Spouse,V,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,WIW,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,VZ,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,DLR,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,RIO,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,AMT,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,MOS,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,LDP,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,AQN,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,AY,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,JCI,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,GMRE,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,BMY,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,DIS,Purchase,Thomas R Carper,1001
2022-01-18,Spouse,JNJ,Purchase,Thomas R Carper,1001
2021-12-15,Spouse,NVS,Sale (Full),Shelley M Capito,1001
2021-12-28,Self,VZ,Sale (Partial),Shelley M Capito,1001
2021-12-21,Spouse,USB,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,MSFT,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,GILD,Sale (Full),"Jerry Moran,",1001
2021-12-21,Spouse,XOM,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,CVS,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,BRK.B,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,BAC,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,AAPL,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Spouse,PII,Purchase,"Jerry Moran,",1001
2021-12-21,Spouse,PFE,Purchase,"Jerry Moran,",1001
2021-12-21,Spouse,KMB,Purchase,"Jerry Moran,",1001
2021-12-21,Spouse,CMCSA,Purchase,"Jerry Moran,",1001
2021-12-21,Spouse,CSCO,Purchase,"Jerry Moran,",1001
2021-12-21,Spouse,CI,Purchase,"Jerry Moran,",1001
2021-12-21,Spouse,BK,Purchase,"Jerry Moran,",1001
2021-12-21,Self,USB,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,MSFT,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,KR,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,GILD,Sale (Full),"Jerry Moran,",1001
2021-12-21,Self,FB,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,XOM,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,DVA,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,CVS,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,BRK.B,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,BAC,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,AAPL,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,GOOG,Sale (Partial),"Jerry Moran,",1001
2021-12-21,Self,VZ,Purchase,"Jerry Moran,",1001
2021-12-21,Self,PII,Purchase,"Jerry Moran,",1001
2021-12-21,Self,PFE,Purchase,"Jerry Moran,",1001
2021-12-21,Self,KMB,Purchase,"Jerry Moran,",1001
2021-12-21,Self,CMCSA,Purchase,"Jerry Moran,",1001
2021-12-21,Self,CSCO,Purchase,"Jerry Moran,",1001
2021-12-21,Self,CI,Purchase,"Jerry Moran,",1001
2021-12-21,Self,BK,Purchase,"Jerry Moran,",1001
2021-12-16,Self,IRT,Exchange,John R Thune,15001
2021-12-22,Joint,AAPL,Sale (Partial),Thomas H Tuberville,50001
2021-12-23,Joint,BABA,Sale (Partial),Thomas H Tuberville,50001
2021-12-21,Joint,BABA,Purchase,Thomas H Tuberville,15001
2021-12-15,Joint,BABA,Purchase,Thomas H Tuberville,50001
2021-12-14,Joint,BABA,Purchase,Thomas H Tuberville,50001
2021-12-13,Joint,SSYS,Purchase,Thomas H Tuberville,15001
2021-12-28,Self,DDOG,Sale (Full),"William F Hagerty, Iv",15001
2021-12-23,Self,RHP,Sale (Full),"William F Hagerty, Iv",100001
2021-12-23,Self,RNR,Sale (Partial),"William F Hagerty, Iv",250001
2021-12-23,Self,RHP,Sale (Partial),"William F Hagerty, Iv",15001
2021-12-28,Self,RNR,Sale (Partial),"William F Hagerty, Iv",250001
2021-12-29,Self,PNFP,Sale (Partial),"William F Hagerty, Iv",100001
2021-12-29,Self,ENVA,Sale (Full),"William F Hagerty, Iv",15001
2021-12-29,Self,CCEP,Sale (Full),"William F Hagerty, Iv",50001
2021-12-29,Self,BKEP,Sale (Full),"William F Hagerty, Iv",15001
2021-12-29,Self,NS,Sale (Full),"William F Hagerty, Iv",50001
2021-12-29,Self,CLDT,Sale (Full),"William F Hagerty, Iv",1001
2021-12-21,Spouse,CEM,Sale (Full),Thomas R Carper,1001
2021-12-16,Self,VRM,Sale (Full),"William F Hagerty, Iv",1001
2021-12-03,Spouse,WFC,Purchase,"A. Mitchell Mcconnell, Jr.",1001
2021-11-01,Self,PYPL,Sale (Full),John W Hickenlooper,250001
2021-11-01,Self,NVDA,Sale (Full),John W Hickenlooper,500001
2021-11-01,Self,MSFT,Sale (Full),John W Hickenlooper,250001
2021-10-27,Self,FB,Sale (Full),John W Hickenlooper,250001
2021-10-29,Self,AAPL,Sale (Full),John W Hickenlooper,250001
2021-10-29,Self,AMZN,Sale (Full),John W Hickenlooper,250001
2021-11-01,Self,GOOGL,Sale (Full),John W Hickenlooper,250001
2021-11-08,Spouse,TTD,Sale (Partial),John W Hickenlooper,15001
2021-11-22,Joint,OXY,Sale (Full),Thomas H Tuberville,50001
2021-11-08,Joint,CLF,Purchase,Thomas H Tuberville,100001
2021-11-02,Joint,SCCO,Purchase,Thomas H Tuberville,100001
2021-11-01,Spouse,DELL,Exchange,Jacklyn S Rosen,1001
2021-11-29,Self,CAG,Purchase,Gary C Peters,1001
2021-11-29,Self,OFC,Purchase,Gary C Peters,1001
2021-11-08,Self,DDOG,Sale (Partial),"William F Hagerty, Iv",1000001
2021-10-28,Self,CVX,Sale (Full),John W Hickenlooper,100001
2021-10-14,Self,ROAD,Sale (Full),Mark R Warner,50001
2021-10-15,Joint,SPG,Purchase,Patrick J Toomey,1001
2021-10-26,Joint,RMD,Sale (Full),Thomas H Tuberville,1001
2021-10-26,Joint,APAM,Sale (Full),Thomas H Tuberville,1001
2021-10-26,Joint,AON,Sale (Full),Thomas H Tuberville,1001
2021-10-18,Joint,INTC,Purchase,Thomas H Tuberville,50001
2021-10-18,Joint,AA,Sale (Full),Thomas H Tuberville,100001
2021-10-18,Joint,X,Purchase,Thomas H Tuberville,100001
2021-10-15,Joint,INTC,Purchase,Thomas H Tuberville,15001
2021-10-15,Joint,AA,Sale (Full),Thomas H Tuberville,1001
2021-10-18,Self,GE,Sale (Full),Thomas H Tuberville,15001
2021-10-18,Self,UAA,Sale (Full),Thomas H Tuberville,15001
2021-10-18,Self,UA,Sale (Full),Thomas H Tuberville,15001
2021-10-18,Joint,BDX,Sale (Full),Thomas H Tuberville,15001
2021-10-18,Joint,D,Sale (Full),Thomas H Tuberville,15001
2021-10-18,Joint,DOW,Sale (Full),Thomas H Tuberville,1001
2021-10-18,Joint,GD,Sale (Full),Thomas H Tuberville,15001
2021-10-22,Spouse,SNOW,Purchase,Thomas R Carper,1001
2021-09-30,Joint,PG,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,NFLX,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,MPWR,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,KEYS,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,KLAC,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,JNJ,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,INTU,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,GNRC,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,EL,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,EXP,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,DEO,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,CTAS,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,CABO,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,BKE,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,ALLE,Purchase,Thomas H Tuberville,1001
2021-09-30,Joint,APD,Purchase,Thomas H Tuberville,1001
2021-09-29,Joint,WAL,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,MMM,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,DECK,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,CLX,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,CHE,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,BHP,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,ATHM,Sale (Full),Thomas H Tuberville,1001
2021-09-29,Joint,AME,Sale (Full),Thomas H Tuberville,1001
2021-09-20,Joint,SSYS,Purchase,Thomas H Tuberville,50001
2021-09-03,Self,J,Purchase,Cynthia M Lummis,1001
2021-09-28,Spouse,GOOG,Sale (Partial),Thomas R Carper,1001
2021-09-28,Spouse,AAPL,Sale (Partial),Thomas R Carper,15001
2021-09-27,Spouse,NRDY,Purchase,Roy Blunt,1001
2021-08-25,Spouse,AAPL,Purchase,Shelley M Capito,1001
2021-08-17,Spouse,MSFT,Sale (Partial),Shelley M Capito,1001
2021-08-17,Spouse,AAPL,Sale (Partial),Shelley M Capito,1001
2021-08-30,Spouse,BABA,Sale (Full),Sheldon Whitehouse,1001
2021-08-30,Joint,MCHP,Sale (Full),Sheldon Whitehouse,15001
2021-08-30,Joint,T,Sale (Full),Sheldon Whitehouse,15001
2021-08-18,Joint,SSYS,Purchase,Thomas H Tuberville,1001
2021-08-12,Joint,SSBK,Purchase,Thomas H Tuberville,50001
2021-08-23,Spouse,LMRK,Sale (Full),Thomas R Carper,1001
2021-08-11,Spouse,WW,Purchase,Thomas R Carper,1001
2021-08-04,Spouse,ARE,Sale (Partial),Thomas R Carper,1001
2021-08-04,Spouse,COR,Purchase,Thomas R Carper,1001
2021-07-21,Joint,CLF,Purchase,Thomas H Tuberville,100001
2021-07-19,Joint,CLF,Sale (Full),Thomas H Tuberville,50001
2021-07-19,Joint,AA,Sale (Full),Thomas H Tuberville,50001
2021-07-16,Joint,CRWD,Purchase,Thomas H Tuberville,15001
2021-07-16,Joint,NWL,Purchase,Thomas H Tuberville,15001
2021-07-16,Joint,PEGA,Purchase,Thomas H Tuberville,15001
2021-07-16,Joint,PEP,Purchase,Thomas H Tuberville,15001
2021-07-16,Self,XLY,Purchase,Thomas H Tuberville,15001
2021-07-16,Self,MTUM,Purchase,Thomas H Tuberville,15001
2021-07-16,Self,SQ,Purchase,Thomas H Tuberville,15001
2021-07-16,Self,DTD,Purchase,Thomas H Tuberville,15001
2021-07-26,Spouse,RDSA,Sale (Partial),Shelley M Capito,1001
2021-07-26,Spouse,MSFT,Sale (Partial),Shelley M Capito,1001
2021-07-26,Spouse,IBM,Sale (Partial),Shelley M Capito,1001
2021-07-26,Spouse,INTC,Sale (Partial),Shelley M Capito,1001
2021-07-26,Spouse,C,Sale (Partial),Shelley M Capito,1001
2021-07-30,Spouse,PINS,Purchase,John W Hickenlooper,15001
2021-07-27,Spouse,SNAP,Sale (Partial),John W Hickenlooper,15001
2021-07-21,Self,O,Purchase,Gary C Peters,15001
2021-07-08,Spouse,JCI,Purchase,Thomas R Carper,1001
2021-07-08,Spouse,FAST,Purchase,Thomas R Carper,1001
2021-06-24,Spouse,TMO,Purchase,"Angus S King, Jr.",1001
2021-06-24,Spouse,ADBE,Purchase,"Angus S King, Jr.",1001
2021-03-29,Joint,ALGN,Purchase,Thomas H Tuberville,1001
2021-01-21,Joint,CLF,Purchase,Thomas H Tuberville,15001
2021-01-15,Joint,SDOG,Purchase,Thomas H Tuberville,15001
2021-01-13,Joint,TDY,Sale (Full),Thomas H Tuberville,50001
